wins,attend
82,2161537
81,2416236
93,3348170
83,1478729
95,2293842
71,1863733
84,2713493
78,2050012
98,2065302
84,1804289
75,1737478
83,2147905
84,2448699
85,2297720
91,4001527
98,3077400
89,3567819
73,2468574
78,2126720
86,2681156
90,2315946
76,1224094
75,1423963
81,1211412
72,1867689
72,2065444
63,2473266
92,1857351
90,2482428
72,1779534
76,1748737
96,2494160
70,1927448
96,1829395
82,1721406
72,1560998
64,1651367
83,2418483
77,2198231
96,4028318
87,1669127
104,3884720
85,3644965
80,2422021
94,2581091
73,2453232
76,2177908
67,4483350
85,1971421
85,2084618
84,1934578
71,2057460
81,3170393
64,3064847
69,1688080
71,2048673
59,1873183
88,2416942
68,2035025
97,3137674
75,1650593
61,1375432
103,2606354
82,2052638
87,2844977
86,2244616
95,4057947
96,2901242
85,2315231
76,2219110
85,1676403
81,1861428
83,3891014
53,1168610
82,1975888
90,3188454
80,1746767
80,1327155
78,1437352
71,1588323
92,2250877
78,1148380
67,1801677
73,1332150
91,2187886
68,1413922
88,2654718
74,2559573
88,1616709
101,3464488
98,3711132
78,2226136
68,2190308
76,1785788
83,3888453
79,1365157
84,2046781
84,1767330
88,3319504
92,2364387
68,1411064
88,1766174
96,2580325
65,1264218
68,1490638
79,1657022
76,2089333
90,1690869
90,3192237
73,2634014
77,2945228
76,2589297
78,1497609
65,3610290
106,3360860
79,3684650
92,2314704
77,1793649
89,3467299
77,3792683
65,1409391
102,2458451
85,2519280
83,3089222
54,1730384
74,1811593
70,1165976
88,2287948
114,2955193
74,1232343
75,1715722
98,2555874
63,2506293
88,2927399
65,914909
100,3019654
103,3284897
78,3433150
94,2446162
67,2813854
75,1338851
97,3468456
72,3481065
97,2706017
70,2253123
77,3095346
64,1369421
98,3292736
87,1434610
77,1825337
74,2523538
86,2078399
79,2916346
69,1562827
95,2771469
84,2163464
68,773277
85,2942251
95,3234304
74,3297031
85,2585895
65,2789511
95,1947799
90,3456278
82,3295129
79,2438617
72,3056139
77,1564847
82,2066982
86,2880242
69,1000760
94,2820530
65,1612769
69,1748908
76,2352443
97,3318800
91,2914624
95,3336493
71,2588401
83,1705712
67,926272
92,2736451
88,2823530
63,3094841
88,2779465
83,1766172
66,1879757
91,3175523
73,3166821
66,1921305
93,2904277
65,1536371
75,2000919
86,3017143
76,1261226
68,2811041
85,1782929
82,2658330
102,2133277
86,1782054
62,2464870
79,2378128
90,3311958
116,3507326
93,3109578
62,1298365
73,2831021
80,1915438
68,642745
98,3198977
67,2682439
93,2650862
67,2693096
81,1676911
78,1855787
74,2616940
73,2737838
84,2517357
62,1323036
99,2305547
92,3131255
79,813118
56,1969153
103,2169811
66,2220601
95,3253203
93,3542938
97,3011756
72,2352397
78,1637900
83,812045
84,2805542
101,2401084
95,2724165
88,2962630
86,1939524
69,2355259
68,1730002
74,2334085
43,1368245
87,2454241
83,1779895
77,3061094
85,3138626
91,1303215
68,1700354
90,1946011
96,2216596
86,2259948
75,1636751
64,2030084
93,3268509
85,2910386
63,1058695
71,2094394
86,1799458
83,1025639
51,2519560
96,2327565
78,2744018
98,2837294
89,3170154
83,1930537
76,2287250
80,1814401
68,2338069
72,1917004
92,3087872
58,1661478
92,3375677
93,3488283
83,1723105
92,1911490
71,2318951
101,3775292
91,2201516
86,3250092
87,3016752
91,3256854
63,2940731
105,3048427
89,2513685
67,749550
77,2059424
90,2521167
74,2624740
95,2847888
79,3099992
99,2342833
93,2013763
67,1914389
71,2024431
56,1371181
95,3404686
71,3603646
83,1852608
81,2211023
83,2034243
83,2829929
95,4090696
88,2109118
88,2665304
67,1817245
82,2869787
75,3181023
69,2725459
100,3538988
67,1141669
79,2525221
80,2014995
81,2731993
76,2091685
79,2550524
70,2153139
86,2930588
66,3123215
90,2957414
80,2134607
78,1997995
76,2104362
95,2595937
82,3022763
62,1372638
89,3406790
88,3758545
78,1164134
75,2335643
96,2285018
97,3379535
97,4248067
93,1976625
85,2701815
67,1861549
88,2659757
78,2481165
61,1368950
80,2388757
87,2302212
71,2153056
90,2325249
84,2745207
69,2164822
96,2970755
85,3252462
72,2684395
72,2058593
96,2275912
88,3047133
73,3020405
69,1616867
94,3365632
82,3857036
71,1370511
83,2869144
79,2296383
88,3853955
94,4271083
76,1921844
89,3108325
68,1749142
71,3223215
88,2672223
78,3552180
66,1387603
75,2353862
83,2360644
73,1943812
82,2509924
72,2532834
95,3048250
74,2058632
81,2169760
74,2650218
74,3202645
75,1578922
100,3336747
84,3730553
90,3068458
89,4042045
89,4298655
92,3422583
67,1609076
63,2427535
72,2863837
61,2329702
86,3432917
97,1811986
79,1945677
86,2399786
70,2128765
86,2373631
64,1907163
95,3062699
79,2284163
78,1747919
65,1766242
92,2665080
74,2521076
65,1797891
97,3240386
95,3761655
87,1464109
80,3037451
70,3168571
103,3719358
75,1408783
93,3600693
75,1919603
88,2862110
85,2195533
91,3343252
84,1874962
87,2156016
75,1876129
59,1817226
65,2056697
91,2510119
66,1733019
89,3046445
75,3062973
88,2194378
91,2060550
69,1391644
83,2875245
81,2461237
76,2331490
67,1615327
80,3250814
80,3562320
80,1524894
77,2776531
94,3223640
79,2559738
95,3765807
81,1418391
97,3777322
57,1613399
90,2131774
92,3037443
61,2085630
86,3301218
96,1864999
90,2505171
85,1495482
69,1828066
94,2105432
89,2372940
69,1755461
90,3054001
71,3017966
79,2001117
79,2213588
80,1840835
73,2909777
95,2642045
56,2067016
71,1724450
86,3166321
72,1520562
96,3071373
63,3168116
77,2352596
97,3653680
74,1476791
102,3680718
72,1940429
71,2143018
86,3387303
67,1896321
90,3093954
91,1529188
96,2946949
81,1818103
81,2177617
94,2420171
93,2102240
69,3043003
61,2882756
85,1965955
97,2347251
68,1603596
64,2630458
88,3028033
55,1607733
72,1739859
89,3061770
86,3324246
69,2219444
83,2831385
66,2776354
74,2242803
95,3542406
94,1679013
81,3565718
79,2091918
76,2123721
94,3377371
75,1721920
88,3262109
90,1559681
93,3460280
73,2099663
98,2370794
81,2134895
96,2548679
85,2357561
97,2833333
66,2642682
63,1768413
90,2492101
92,1572926
74,2793828
93,3083397
51,1651883
86,1750754
78,3019505
92,3743527
62,1586322
74,2531105
66,2477644
74,2135657
85,3279589
96,1809302
73,3012403
94,2256862
76,2166691
76,3369106
71,1761546
97,3369769
74,2536562
86,2652422
64,2073730
79,2354305
96,2464473
71,2956089
73,2652113
73,1650821
76,2476664
85,1437393
66,2680329
90,2917209
70,1751829
89,1956482
98,3095935
94,3782337
77,1732283
82,2797384
70,2250606
79,2148808
84,3401624
88,2003628
73,2423852
88,2442564
77,2195373
88,3368697
87,2064334
90,3540649
77,1446464
67,2718733
83,2375525
96,2579389
79,2080145
67,2001392
81,2281202
78,2880694
97,2919122
76,1755810
64,2419506
68,2506789
86,2153585
95,2708549
85,3012765
92,3764815
71,1752235
68,2542558
83,2220054
90,2569753
87,3193795
68,1768175
63,1831080
98,2498596
74,2459752
84,3375882
76,2193581
100,3520889
80,1287054
88,2491875
93,2794891
83,2619843
69,2036216
89,2172344
93,2955434
103,3232420
78,1746293
68,1894085
75,2602524
84,2306623
81,2557712
74,3016142
91,3703312
73,2314614
59,1963912
87,2789602
84,3063405
69,1521506
71,1915144
78,2249201
68,2351422
87,3365256
86,2267928
86,3444490
68,1286163
95,2710402
89,3392099
95,2481938
89,2022450
84,1785293
93,2278217
92,3249287
73,1139026
59,836204
76,1198175
94,1613031
95,1978896
79,1963875
91,3510313
90,2128339
81,1539815
77,1363469
82,2320651
75,734079
89,2110009
81,1786633
85,1669888
84,1471805
86,2455477
77,2089034
81,1478659
67,1861985
84,2653763
94,1641437
88,3646950
90,2889020
90,2623194
80,1391146
69,1560950
89,1925364
83,3195691
88,2454303
96,2061222
97,2725668
85,2577371
73,1573621
71,2454523
101,3465600
73,1943067
89,2804760
90,2376250
89,2790074
89,2500648
88,2302431
86,2567165
87,2416237
92,1510300
91,3178273
74,1374141
86,3080980
